dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.604520,9.985648,0.000655,0.065510,3.275505,163.775266,0.000114
0.020000,1.604520,9.985648,0.003276,0.196530,6.551011,163.775266,0.000081
0.020000,1.604520,9.985648,0.008516,0.327551,6.551011,0.000000,0.000017
0.020000,1.610977,9.985648,0.016378,0.458571,6.551011,-0.000000,6.283107
0.020000,1.621458,9.985647,0.026859,0.589591,6.551011,0.000000,6.282979
0.020000,1.634560,9.985643,0.039961,0.720611,6.551011,-0.000000,6.282821
0.020000,1.650283,9.985636,0.055684,0.851631,6.551011,0.000000,6.282633
0.020000,1.668626,9.985624,0.074026,0.982652,6.551011,0.000000,6.282416
0.020000,1.689589,9.985605,0.094990,1.113672,6.551011,-0.000000,6.282171
0.020000,1.713172,9.985578,0.118573,1.244692,6.551011,0.000000,6.281899
0.020000,1.739376,9.985540,0.144777,1.375712,6.551011,-0.000000,6.281601
0.020000,1.768201,9.985490,0.173602,1.506732,6.551011,0.000000,6.281279
0.020000,1.799646,9.985424,0.205047,1.637753,6.551011,0.000000,6.280934
0.020000,1.833711,9.985341,0.239112,1.768773,6.551011,-0.000000,6.280569
0.020000,1.870396,9.985238,0.275798,1.899793,6.551011,0.000000,6.280184
0.020000,1.909702,9.985112,0.315104,2.030813,6.551011,-0.000000,6.279782
0.020000,1.951628,9.984961,0.357030,2.161834,6.551011,0.000000,6.279366
0.020000,1.996175,9.984781,0.401577,2.292854,6.551011,0.000000,6.278937
0.020000,2.043342,9.984570,0.448744,2.423874,6.551011,0.000000,6.278497
0.020000,2.093129,9.984326,0.498532,2.554894,6.551011,0.000000,6.278050
0.020000,2.145536,9.984045,0.550940,2.685914,6.551011,-0.000000,6.277599
0.020000,2.200564,9.983725,0.605968,2.816935,6.551011,0.000000,6.277145
0.020000,2.258211,9.983363,0.663617,2.947955,6.551011,0.000000,6.276693
0.020000,2.318479,9.982958,0.723887,3.078975,6.551011,-0.000000,6.276244
0.020000,2.381367,9.982508,0.786776,3.209995,6.551011,0.000000,6.275804
0.020000,2.446876,9.982010,0.852286,3.341015,6.551011,0.000000,6.275374
0.020000,2.515004,9.981464,0.920417,3.472036,6.551011,0.000000,6.274959
0.020000,2.585752,9.980867,0.991168,3.603056,6.551011,-0.000000,6.274562
0.020000,2.659121,9.980221,1.064539,3.734076,6.551011,-0.000000,6.274187
0.020000,2.735109,9.979523,1.140531,3.865096,6.551011,0.000000,6.273838
0.020000,2.813718,9.978776,1.219143,3.996116,6.551011,-0.000000,6.273520
0.020000,2.894947,9.977979,1.300376,4.127137,6.551011,0.000000,6.273236
0.020000,2.978795,9.977134,1.384229,4.258157,6.551011,0.000000,6.272992
0.020000,3.065264,9.976243,1.470702,4.389177,6.551011,-0.000000,6.272791
0.020000,3.154353,9.975310,1.559796,4.520197,6.551011,0.000000,6.272638
0.020000,3.246062,9.974338,1.651510,4.651218,6.551011,0.000000,6.272539
0.020000,3.340391,9.973331,1.745844,4.782238,6.551011,0.000000,6.272498
0.020000,3.437340,9.972296,1.842799,4.913258,6.551011,0.000000,6.272520
0.020000,3.536910,9.971238,1.942375,5.044278,6.551011,0.000000,6.272612
0.020000,3.639100,9.970165,2.044570,5.175298,6.551011,0.000000,6.272777
0.020000,3.743911,9.969086,2.149387,5.306319,6.551011,-0.000000,6.273022
0.020000,3.851342,9.968011,2.256823,5.437339,6.551011,0.000000,6.273353
0.020000,3.961394,9.966952,2.366880,5.568359,6.551011,-0.000000,6.273775
0.020000,4.074067,9.965920,2.479558,5.699379,6.551011,0.000000,6.274294
0.020000,4.189360,9.964930,2.594855,5.830399,6.551011,0.000000,6.274918
0.020000,4.307275,9.963997,2.712774,5.961420,6.551011,-0.000000,6.275651
0.020000,4.427810,9.963139,2.833312,6.092440,6.551011,0.000000,6.276501
0.020000,4.550967,9.962375,2.956471,6.223460,6.551011,-0.000000,6.277474
0.020000,4.676745,9.961724,3.082251,6.354480,6.551011,0.000000,6.278577
0.020000,4.805143,9.961211,3.210650,6.485501,6.551011,-0.000000,6.279817
0.020000,4.936163,9.960859,3.341671,6.616521,6.551011,0.000000,6.281201
0.020000,5.069804,9.960695,3.475311,6.747541,6.551011,0.000000,6.282737
