dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.604416,10.902298,0.000655,0.065510,3.275505,163.775266,0.000114
0.020000,1.604446,10.902298,0.000685,0.001474,-3.201796,-323.865084,0.000081
0.020000,1.604505,10.902298,0.000743,0.002942,0.073379,163.758752,0.000017
0.020000,1.611049,10.902298,0.007288,0.327216,16.213727,807.017427,6.283107
0.020000,1.621647,10.902297,0.017886,0.529912,10.134760,-303.948345,6.282979
0.020000,1.634894,10.902293,0.031133,0.662340,6.621427,-175.666681,6.282821
0.020000,1.650789,10.902285,0.047027,0.794735,6.619729,-0.084877,6.282633
0.020000,1.669330,10.902273,0.065569,0.927090,6.617794,-0.096760,6.282416
0.020000,1.690518,10.902254,0.086757,1.059400,6.615466,-0.116414,6.282171
0.020000,1.714352,10.902227,0.110590,1.191657,6.612836,-0.131458,6.281899
0.020000,1.740829,10.902189,0.137067,1.323853,6.609817,-0.150967,6.281601
0.020000,1.769948,10.902138,0.166187,1.455984,6.606560,-0.162843,6.281279
0.020000,1.801709,10.902072,0.197948,1.588042,6.602916,-0.182195,6.280934
0.020000,1.836109,10.901988,0.232348,1.720022,6.598960,-0.197798,6.280569
0.020000,1.873147,10.901884,0.269387,1.851915,6.594647,-0.215653,6.280184
0.020000,1.912822,10.901757,0.309061,1.983716,6.590048,-0.229954,6.279782
0.020000,1.955130,10.901604,0.351369,2.115418,6.585111,-0.246857,6.279366
0.020000,2.000070,10.901423,0.396310,2.247014,6.579795,-0.265795,6.278937
0.020000,2.047639,10.901210,0.443880,2.378499,6.574242,-0.277643,6.278497
0.020000,2.097836,10.900964,0.494077,2.509864,6.568286,-0.297836,6.278050
0.020000,2.150657,10.900680,0.546899,2.641105,6.562031,-0.312726,6.277599
0.020000,2.206100,10.900358,0.602343,2.772214,6.555467,-0.328227,6.277145
0.020000,2.264163,10.899994,0.660407,2.903185,6.548527,-0.346996,6.276693
0.020000,2.324842,10.899586,0.721087,3.034011,6.541310,-0.360816,6.276244
0.020000,2.388134,10.899133,0.784381,3.164686,6.533730,-0.379016,6.275804
0.020000,2.454036,10.898632,0.850285,3.295203,6.525866,-0.393204,6.275374
0.020000,2.522545,10.898083,0.918796,3.425555,6.517628,-0.411886,6.274959
0.020000,2.593657,10.897483,0.989911,3.555737,6.509104,-0.426226,6.274562
0.020000,2.667369,10.896834,1.063626,3.685742,6.500222,-0.444101,6.274187
0.020000,2.743677,10.896133,1.139937,3.815563,6.491043,-0.458953,6.273838
0.020000,2.822577,10.895383,1.218841,3.945193,6.481507,-0.476770,6.273520
0.020000,2.904066,10.894583,1.300333,4.074626,6.471671,-0.491829,6.273236
0.020000,2.988139,10.893736,1.384410,4.203856,6.461482,-0.509425,6.272992
0.020000,3.074792,10.892844,1.471068,4.332876,6.450993,-0.524464,6.272791
0.020000,3.164021,10.891909,1.560302,4.461679,6.440150,-0.542150,6.272638
0.020000,3.255821,10.890936,1.652107,4.590259,6.428987,-0.558165,6.272539
0.020000,3.350187,10.889929,1.746479,4.718608,6.417493,-0.574685,6.272498
0.020000,3.447116,10.888893,1.843413,4.846722,6.405662,-0.591529,6.272520
0.020000,3.546602,10.887836,1.942905,4.974592,6.393499,-0.608163,6.272612
0.020000,3.648641,10.886765,2.044949,5.102212,6.380996,-0.625150,6.272777
0.020000,3.753227,10.885689,2.149541,5.229575,6.368168,-0.641396,6.273022
0.020000,3.860355,10.884617,2.256674,5.356674,6.354978,-0.659482,6.273353
0.020000,3.970020,10.883561,2.366344,5.483504,6.341462,-0.675806,6.273775
0.020000,4.082217,10.882533,2.478546,5.610056,6.327592,-0.693533,6.274294
0.020000,4.196939,10.881548,2.593272,5.736323,6.313390,-0.710093,6.274918
0.020000,4.314181,10.880621,2.710518,5.862300,6.298815,-0.728764,6.275651
0.020000,4.433938,10.879769,2.830278,5.987978,6.283908,-0.745337,6.276501
0.020000,4.556202,10.879010,2.952545,6.113350,6.268625,-0.764143,6.277474
0.020000,4.680969,10.878365,3.077313,6.238411,6.253023,-0.780094,6.278577
0.020000,4.808231,10.877856,3.204576,6.363151,6.237013,-0.800484,6.279817
0.020000,4.937982,10.877507,3.334327,6.487564,6.220672,-0.817089,6.281201
0.020000,5.070214,10.877345,3.466560,6.611644,6.203959,-0.835610,6.282737
0.020000,5.204922,10.877397,3.601268,6.735382,6.186897,-0.853118,0.001246
0.020000,5.342097,10.877695,3.738443,6.858771,6.169458,-0.871949,0.003108
0.020000,5.481732,10.878269,3.878079,6.981804,6.151661,-0.889877,0.005143
0.020000,5.623819,10.879155,4.020169,7.104474,6.133507,-0.907681,0.007361
0.020000,5.768349,10.880391,4.164704,7.226774,6.114981,-0.926290,0.009768
0.020000,5.915314,10.882017,4.311678,7.348696,6.096118,-0.943169,0.012375
0.020000,6.064704,10.884074,4.461083,7.470234,6.076899,-0.960924,0.015188
0.020000,6.216511,10.886607,4.612910,7.591382,6.057391,-0.975389,0.018216
0.020000,6.370723,10.889665,4.767153,7.712132,6.037487,-0.995207,0.021469
0.020000,6.527331,10.893299,4.923802,7.832478,6.017335,-1.007618,0.024955
0.020000,6.686322,10.897561,5.082851,7.952416,5.996861,-1.023686,0.028682
0.020000,6.847685,10.902509,5.244290,8.071939,5.976168,-1.034656,0.032660
0.020000,7.011407,10.908203,5.408110,8.191043,5.955187,-1.049036,0.036898
0.020000,7.177474,10.914705,5.574305,8.309724,5.934042,-1.057294,0.041406
