dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.358455,11.113090,7.761520,9.792470,5.910880,-0.807814,0.104968
0.020000,9.555501,11.134520,7.959728,9.910370,5.894981,-0.794962,0.111727
0.020000,9.754100,11.157505,8.159652,9.996239,4.293464,-80.075831,0.118757
0.020000,9.952696,11.181928,8.359745,10.004616,0.418872,-193.729611,0.126005
0.020000,10.149743,11.207628,8.558461,9.935804,-3.440605,-192.973854,0.133413
0.020000,10.344256,11.234475,8.754818,9.817847,-5.897843,-122.861900,0.140937
0.020000,10.535882,11.262404,8.948468,9.682525,-6.766109,-43.413276,0.148554
0.020000,10.724622,11.291391,9.139421,9.547634,-6.744536,1.078646,0.156256
0.020000,10.910477,11.321409,9.327684,9.413169,-6.723247,1.064414,0.164033
0.020000,11.093448,11.352429,9.513267,9.279130,-6.701990,1.062857,0.171876
0.020000,11.273539,11.384422,9.696177,9.145504,-6.681262,1.036413,0.179775
0.020000,11.450751,11.417353,9.876423,9.012304,-6.660001,1.063068,0.187721
0.020000,11.625088,11.451189,10.054013,8.879514,-6.639514,1.024319,0.195706
0.020000,11.796554,11.485894,10.228956,8.747130,-6.619191,1.016175,0.203721
0.020000,11.965153,11.521429,10.401259,8.615152,-6.598914,1.013850,0.211756
0.020000,12.130890,11.557755,10.570930,8.483565,-6.579328,0.979289,0.219804
0.020000,12.293771,11.594832,10.737978,8.352372,-6.559649,0.983940,0.227855
0.020000,12.453801,11.632618,10.902409,8.221553,-6.540950,0.934958,0.235902
0.020000,12.610989,11.671069,11.064231,8.091105,-6.522406,0.927223,0.243935
0.020000,12.765341,11.710142,11.223452,7.961027,-6.503909,0.924812,0.251949
0.020000,12.916865,11.749792,11.380077,7.831296,-6.486569,0.867005,0.259934
0.020000,13.065570,11.789972,11.534116,7.701912,-6.469169,0.870026,0.267883
0.020000,13.211466,11.830637,11.685573,7.572854,-6.452906,0.813133,0.275789
0.020000,13.354562,11.871740,11.834455,7.444119,-6.436750,0.807793,0.283645
0.020000,13.494869,11.913234,11.980769,7.315704,-6.420755,0.799752,0.291444
0.020000,13.632398,11.955070,12.124521,7.187562,-6.407110,0.682254,0.299180
0.020000,13.767160,11.997202,12.265715,7.059724,-6.391901,0.760453,0.306847
0.020000,13.899168,12.039580,12.404358,6.932159,-6.378256,0.682243,0.314438
0.020000,14.028433,12.082158,12.540455,6.804850,-6.365427,0.641470,0.321948
0.020000,14.154969,12.124886,12.674011,6.677782,-6.353427,0.600014,0.329371
0.020000,14.278790,12.167718,12.805030,6.550961,-6.341045,0.619073,0.336703
0.020000,14.382837,12.204986,12.915551,5.526040,-51.246020,-2245.248747,0.359769
0.020000,14.477369,12.242417,13.017223,5.083628,-22.120633,1456.269331,0.393393
0.020000,14.572162,12.283427,13.120507,5.164200,4.028597,1307.461540,0.422402
0.020000,14.667121,12.327562,13.225222,5.235727,3.576347,-22.612516,0.446993
0.020000,14.762149,12.374355,13.331146,5.296210,3.024146,-27.610056,0.467405
0.020000,14.857163,12.423336,13.438042,5.344776,2.428333,-29.790668,0.483900
0.020000,14.952094,12.474046,13.545668,5.381324,1.827393,-30.046966,0.496739
0.020000,15.046892,12.526048,13.653793,5.406233,1.245424,-29.098486,0.506177
0.020000,15.141523,12.578927,13.762196,5.420144,0.695560,-27.493172,0.512452
0.020000,15.235963,12.632295,13.870672,5.423811,0.183346,-25.610713,0.515788
0.020000,15.330198,12.685789,13.979032,5.417994,-0.290844,-23.709491,0.516393
0.020000,15.424216,12.739076,14.087100,5.403397,-0.729823,-21.948938,0.514457
